"clusterID_seq","window_type","watershed","year","window_length","catchment_km2","riparian_area_m2","TO","p_window","f_window","beav_count_all","beav_count_conf","anthro_count","isAnthro","Nhat","time_period","SWA","t"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t1",0,"1"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t2",0,"2"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t3",98.8250255879234,"3"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t4",68.6993502630907,"4"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t5",NA,"5"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t6",0,"6"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t7",120.415554988618,"7"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"SWA_t8",195.970820792049,"8"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t1",0,"1"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t2",0,"2"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t3",0,"3"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t4",0,"4"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t5",NA,"5"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t6",0,"6"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t7",0,"7"
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"SWA_t8",0,"8"
2,"dammed","UBV",2021,250,2213.4539,2621.1023350358,31.1615548170916,0.922131719843467,0.0248182266203477,1,1,0,0,1.1120426991242,"SWA_t1",0,"1"
2,"dammed","UBV",2021,250,2213.4539,2621.1023350358,31.1615548170916,0.922131719843467,0.0248182266203477,1,1,0,0,1.1120426991242,"SWA_t2",0,"2"
2,"dammed","UBV",2021,250,2213.4539,2621.1023350358,31.1615548170916,0.922131719843467,0.0248182266203477,1,1,0,0,1.1120426991242,"SWA_t3",0,"3"
2,"dammed","UBV",2021,250,2213.4539,2621.1023350358,31.1615548170916,0.922131719843467,0.0248182266203477,1,1,0,0,1.1120426991242,"SWA_t4",69.0557610874083,"4"
