system:index,Input_FID,SWA_t1,SWA_t2,SWA_t3,SWA_t4,SWA_t5,SWA_t6,SWA_t7,SWA_t8,containsNull_t1,containsNull_t2,containsNull_t3,containsNull_t4,containsNull_t5,containsNull_t6,containsNull_t7,containsNull_t8,riparian_area_m2,.geo
0000000000000000301b,1,293.23671148267454,263.16956590343926,280.7857605714424,191.67845998628468,169.65104120642533,311.29541813439016,123.22435809584223,282.1968336292342,0,0,0,0,0,0,0,0,344.4089070148766,"{""type"":""Polygon"",""coordinates"":[[[-106.59533096124098,48.15696118337237],[-106.5952841616017,48.1569618050045],[-106.59524115789839,48.156864179936925],[-106.59506159424072,48.15688454264065],[-106.59511577170133,48.15691056016625],[-106.59508389920838,48.156960150096914],[-106.59503027674651,48.156951966934784],[-106.59502402489818,48.15696543449585],[-106.5950114199625,48.15699238461942],[-106.59496504207466,48.157001979858336],[-106.59497300183531,48.15704208712741],[-106.59497339662936,48.157055427186776],[-106.59530617342195,48.15702405746362],[-106.59535138204699,48.15697428385165],[-106.59533096124098,48.15696118337237]]]}"
000000000000000031cf,2,70.05657186975664,48.01334693665598,48.01334693665598,0.0,0.0,109.80502896005034,0.0,15.49570785106397,0,0,0,0,0,0,0,0,130.43446096265689,"{""type"":""Polygon"",""coordinates"":[[[-106.59523347540497,48.15683299001403],[-106.59522512046615,48.156779542943106],[-106.59505845569255,48.156786310527956],[-106.59506625532724,48.15682192326018],[-106.59505478737577,48.15688017579954],[-106.59506159424072,48.15688454264065],[-106.59524115789839,48.156864179936925],[-106.59523347540497,48.15683299001403]]]}"
000000000000000031d2,3,51.33301196799557,0.0,0.0,0.0,0.0,63.16359624745798,0.0,51.81471740358014,0,0,0,0,0,0,0,0,109.96454948512837,"{""type"":""Polygon"",""coordinates"":[[[-106.595216866769,48.156726080933055],[-106.59519573082507,48.15669065180932],[-106.59508241107254,48.15669668529196],[-106.59508961275682,48.15671439208796],[-106.59507006772195,48.156728114644885],[-106.59505031956122,48.15673727130199],[-106.59505756413645,48.15675504965815],[-106.59505774043461,48.15676398182133],[-106.59505801795723,48.15677289899407],[-106.59505845569255,48.156786310527956],[-106.59522512046615,48.156779542943106],[-106.595216866769,48.156726080933055]]]}"
000000000000000031c9,4,0.0,0.0,0.0,0.0,0.0,44.94264277289895,0.0,0.0,0,0,0,0,0,0,0,0,105.79074659431353,"{""type"":""Polygon"",""coordinates"":[[[-106.5952129963068,48.1566010827039],[-106.59503299625608,48.15660803372773],[-106.59503997936653,48.156621332688246],[-106.5950269207729,48.15663043334013],[-106.59502098940848,48.15665288951374],[-106.59505414805122,48.15664790063362],[-106.59507371985718,48.15662981185073],[-106.59508761104237,48.15664746264187],[-106.59508197332615,48.15668327378124],[-106.59508241107254,48.15669668529196],[-106.59519573082507,48.15669065180932],[-106.5951886035077,48.156677296293005],[-106.5952201980506,48.156618789456594],[-106.5952129963068,48.1566010827039]]]}"
000000000000000031ca,5,0.0,0.0,0.0,0.0,0.0,14.85700440383425,0.0,0.0,0,0,0,0,0,0,0,0,137.9152374197729,"{""type"":""Polygon"",""coordinates"":[[[-106.59518401778543,48.15652996957165],[-106.5951765385188,48.15650334571773],[-106.59501043011203,48.156527947411355],[-106.59498391817375,48.15653280874307],[-106.59498419568226,48.15654172587732],[-106.59499808678147,48.15655937665406],[-106.59503299625608,48.15660803372773],[-106.5952129963068,48.1566010827039],[-106.59518401778543,48.15652996957165]],[[-106.59507893590948,48.15658502705433],[-106.59504545689235,48.15658102725024],[-106.5950595082579,48.156603172373984],[-106.59507893590948,48.15658502705433]]]}"
000000000000000031ce,6,0.013089894079694561,0.0,0.0,0.0,0.0,70.28742774514592,0.0,0.0,0,0,0,0,0,0,0,0,157.70161205762997,"{""type"":""Polygon"",""coordinates"":[[[-106.5951765385188,48.15650334571773],[-106.59516941123918,48.156489990246435],[-106.59516812468846,48.156445389650536],[-106.59515363551084,48.15640983316959],[-106.59493479740105,48.15645751229182],[-106.59494160416958,48.15646187910885],[-106.59493567279665,48.15648433520568],[-106.59498359776249,48.15652382006676],[-106.59498391817375,48.15653280874307],[-106.59501043011203,48.156527947411355],[-106.5951765385188,48.15650334571773]],[[-106.59501043011203,48.156527947411355],[-106.5950169593908,48.156523397095825],[-106.59500346311044,48.15651908625687],[-106.59501043011203,48.156527947411355]]]}"
000000000000000031d3,7,70.25351424474341,0.0,0.0,0.0,0.0,7.539792100588481,7.539792100588481,0.0,0,0,0,0,0,0,0,0,158.26057311333716,"{""type"":""Polygon"",""coordinates"":[[[-106.59514639093209,48.15639205493704],[-106.59511108657433,48.156330058227006],[-106.59511092635135,48.15632556390657],[-106.59495178579348,48.15635902651328],[-106.59492638397671,48.15639955624364],[-106.59491354462845,48.15641766048904],[-106.59493479740105,48.15645751229182],[-106.59515363551084,48.15640983316959],[-106.59514639093209,48.15639205493704]]]}"
000000000000000031c8,8,2.7357919805190147,0.0,0.0,0.0,0.0,16.956690486739664,16.956690486739664,0.0,0,0,0,0,0,0,0,0,115.3395233899355,"{""type"":""Polygon"",""coordinates"":[[[-106.59506863904811,48.15625026838975],[-106.59496196733258,48.15625617411927],[-106.59496212753771,48.15626066843448],[-106.59496252234827,48.15627400829594],[-106.59496284275836,48.15628299692979],[-106.59496312026602,48.1562919140219],[-106.59492328860487,48.156301396565766],[-106.59493805499088,48.1563458701171],[-106.59495792023615,48.15634113633514],[-106.59495178579348,48.15635902651328],[-106.59511092635135,48.15632556390657],[-106.5951098161779,48.15628989552971],[-106.59506863904811,48.15625026838975]]]}"
000000000000000031c7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,110.34879147913307,"{""type"":""Polygon"",""coordinates"":[[[-106.59493231727708,48.15616280444565],[-106.59492694096647,48.15620309456637],[-106.59496185002978,48.15625175134765],[-106.59496196733258,48.15625617411927],[-106.59506863904811,48.15625026838975],[-106.59509415795009,48.156214161510015],[-106.59509300488283,48.15617842166499],[-106.59509261002201,48.156165081829506],[-106.59493231727708,48.15616280444565]]]}"
000000000000000031cc,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,124.15047810878605,"{""type"":""Polygon"",""coordinates"":[[[-106.59508320351122,48.15607588064855],[-106.59493624706843,48.15607341976134],[-106.5949102904718,48.15609611513942],[-106.59493142579022,48.1561315439423],[-106.59493203977476,48.15615388737513],[-106.59493231727708,48.15616280444565],[-106.59509261002201,48.156165081829506],[-106.59509737206484,48.15610244831627],[-106.59508320351122,48.15607588064855]]]}"
